MAPPED_TRAIT,NLP_TERM,NLP_MESH_ID
PSRC1/SESTD1 protein level ratio in blood,PSRC1/SESTD1 protein,
CSF1/SEMA3F protein level ratio in blood,CSF1/SEMA3F protein,
versican core protein measurement,versican core protein measurement,
glial fibrillary acidic protein measurement,glial fibrillary acidic protein measurement,
CASP8/CIAPIN1 protein level ratio in blood,CASP8/CIAPIN1 protein,
level of spermatogenesis-associated protein 46 in blood serum,level,D000082162
"total cholesterol measurement, blood VLDL cholesterol amount",total cholesterol measurement,
proteinase-activated receptor 1 measurement,proteinase-activated receptor 1 measurement,
low-density lipoprotein receptor measurement,low-density lipoprotein receptor measurement,
triglycerides to total lipids in small VLDL percentage ,triglycerides,D014280
thioredoxin domain-containing protein 12 measurement,thioredoxin domain-containing protein,
"drug use measurement, gut microbiome measurement",drug use measurement,
CASP8/SERPINB1 protein level ratio in blood,CASP8/SERPINB1 protein,
ran-binding protein 3 measurement,measurement,D054791
dedicator of cytokinesis protein 9 measurement,cytokinesis protein 9,
level of leucine-rich repeats and immunoglobulin-like domains protein 1 in blood serum,level,D000082162
polyunsaturated fatty acids to total fatty acids percentage ,polyunsaturated fatty acids,
level of t-SNARE domain-containing protein 1 in blood serum,level,D000082162
CASP8/SEPTIN9 protein level ratio in blood,CASP8/SEPTIN9 protein,
total lipids in very large VLDL measurement ,lipids,D008055
familial hyperlipidemia,familial,D028227
PPP1R12A/SNAP29 protein level ratio in blood,PPP1R12A/SNAP29 protein,
CDKN2D/SIRT2 protein level ratio in blood,CDKN2D/SIRT2 protein,
level of adhesion G protein-coupled receptor B3 in blood,level,D000082162
angiopoietin-related protein 1 measurement,angiopoietin-related protein 1 measurement,
"diet measurement, HOMA-B",diet measurement,
total cholesterol in medium VLDL,total cholesterol,
"Hypercholesterolemia, family history",Hypercholesterolemia,D006937
NUCB2/TRIAP1 protein level ratio in blood,NUCB2/TRIAP1 protein,
free cholesterol in very large VLDL measurement ,free cholesterol,
PPP1R9B/SCAMP3 protein level ratio in blood,PPP1R9B/SCAMP3 protein,
myocardial zonula adherens protein measurement,myocardial zonula,
F2R/ITGB1BP2 protein level ratio in blood,F2R/ITGB1BP2 protein,
cholesterol to total lipids in very small VLDL percentage ,cholesterol,D002784
"diabetes mellitus, family history",diabetes mellitus,D003920
cholesterol in very large VLDL measurement ,cholesterol,D002784
level of ceramide transfer protein in blood,level,D000082162
homeobox protein nanog measurement,homeobox protein,D000090322
CCL5/LAMA4 protein level ratio in blood,CCL5/LAMA4 protein,
CTSF/SMPD1 protein level ratio in blood,CTSF/SMPD1 protein,
disintegrin and metalloproteinase domain-containing protein 11 measurement,disintegrin,D019483
level of centrosomal protein of 85 kDa in blood,level,D000082162
HCLS1/TRIAP1 protein level ratio in blood,HCLS1/TRIAP1 protein,
glucose-dependent insulinotropic peptide measurement,glucose-dependent,
"free cholesterol measurement, blood VLDL cholesterol amount, chylomicron amount",free cholesterol measurement,
"phospholipid amount, blood VLDL cholesterol amount",blood VLDL cholesterol,
triglycerides to total lipids in medium LDL percentage ,triglycerides,D014280
ITGB1BP2/USP8 protein level ratio in blood,ITGB1BP2/USP8 protein,
MAP kinase-activated protein kinase 3 measurement,MAP,D019532
level of Rab proteins geranylgeranyltransferase component A 1 in blood,level,D000082162
ITGB1BP2/STK11 protein level ratio in blood,ITGB1BP2/STK11 protein,
level of dynamin-binding protein in blood,level,D000082162
CASP3/TBCB protein level ratio in blood,CASP3/TBCB protein,
complement factor H-related protein 2 measurement,complement factor H-related protein 2 measurement,
"triglycerides:total lipids ratio, high density lipoprotein cholesterol measurement",triglycerides,D014280
level of protein canopy homolog 4 in blood,level,D000082162
MAP4K5/TBCB protein level ratio in blood,MAP4K5/TBCB protein,
"low density lipoprotein cholesterol measurement, lipid or lipoprotein measurement",low density lipoprotein cholesterol measurement,
level of a disintegrin and metalloproteinase with thrombospondin motifs 8 in blood,level,D000082162
level of COX assembly mitochondrial protein in blood,level,D000082162
RHOC/TBCB protein level ratio in blood,RHOC/TBCB protein,
HPCAL1/NUDC protein level ratio in blood,HPCAL1/NUDC protein,
"phospholipids:total lipids ratio, high density lipoprotein cholesterol measurement",phospholipids,D010743
"phospholipid amount, lipoprotein measurement",lipoprotein measurement,
CCL5/SELP protein level ratio in blood,CCL5/SELP protein,
CANT1/ROR1 protein level ratio in blood,CANT1/ROR1 protein,
neural cell adhesion molecule L1-like protein amount,neural cell,D039842
complement factor H-related protein 4A measurement,complement factor H-related protein 4A,
CRKL/MANF protein level ratio in blood,CRKL/MANF protein,
level of CAP-Gly domain-containing linker protein 2 in blood,level,D000082162
cholesteryl esters to total lipids in very small VLDL percentage ,cholesteryl esters,
HPCAL1/LAT protein level ratio in blood,HPCAL1/LAT protein,
"Alzheimer disease, systolic blood pressure",Alzheimer disease,D000544
CEACAM8/PGLYRP1 protein level ratio in blood,CEACAM8/PGLYRP1 protein,
level of protein disulfide isomerase CRELD1 in blood,level,D000082162
FST/FSTL3 protein level ratio in blood,FST/FSTL3 protein,
eosinophil cationic protein level,eosinophil,D000796
level of RNA-binding protein FUS in blood,level,D000082162
"phospholipid amount, blood VLDL cholesterol amount, chylomicron amount",blood VLDL cholesterol amount,
"Alzheimer disease, diastolic blood pressure",Alzheimer disease,D000544
EFNA1/PIK3IP1 protein level ratio in blood,EFNA1/PIK3IP1 protein,
AXIN1/MAP2K6 protein level ratio in blood,AXIN1/MAP2K6 protein,
"diet measurement, omega-6 polyunsaturated fatty acid measurement",diet measurement,
phospholipids in VLDL measurement ,phospholipids,D010743
level of TSC22 domain family protein 1 in blood,level,D000082162
MANF/PRDX5 protein level ratio in blood,MANF/PRDX5 protein,
"schizophrenia, anorexia nervosa, type 2 diabetes mellitus, major depressive disorder",schizophrenia,D012559
level of tripartite motif-containing protein 5 in blood,level,D000082162
cholesterol esters in medium VLDL measurement,cholesterol esters,D002788
TBCB/TBCC protein level ratio in blood,TBCB/TBCC protein,
"leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2 measurement",immunoglobulin-like domain,
lipoprotein A measurement,lipoprotein A measurement,
"lipid measurement, lipoprotein measurement",lipid measurement,
total lipids in VLDL measurement ,lipids,D008055
MANF/PPIB protein level ratio in blood,MANF/PPIB protein,
"insulin measurement, glucose tolerance test",insulin measurement,
"protein SCO1 homolog, mitochondrial measurement",protein,D048948
CCL5/RARRES2 protein level ratio in blood,CCL5/RARRES2 protein,
CLIP2/PDLIM7 protein level ratio in blood,CLIP2/PDLIM7 protein,
level of thioredoxin domain-containing protein 9 in blood,level,D000082162
level of death domain-containing protein CRADD in blood,level,D000082162
HPCAL1/PTPN6 protein level ratio in blood,HPCAL1/PTPN6 protein,
SCARA5/TGFBI protein level ratio in blood,SCARA5/TGFBI protein,
CD46/NECTIN2 protein level ratio in blood,CD46/NECTIN2 protein,
complement factor H-related protein 1 measurement,complement factor H-related protein 1,
complement factor H-related protein 4 measurement,complement factor H-related protein 4,
level of EF-hand calcium-binding domain-containing protein 4B in blood serum,level,D000082162
HDL cholesterol change measurement,HDL cholesterol change,
CA13/GRAP2 protein level ratio in blood,CA13/GRAP2 protein,
CCL5/TFPI protein level ratio in blood,CCL5/TFPI protein,
level of TP53-binding protein 1 in blood,level,D000082162
"cholesteryl esters:total lipids ratio, blood VLDL cholesterol amount, chylomicron amount",cholesteryl esters,
complement factor H-related protein 5 measurement,complement factor H-related protein 5,
"cholesterol:total lipids ratio, blood VLDL cholesterol amount",cholesterol,D002784
FADD/LACTB2 protein level ratio in blood,FADD/LACTB2 protein,
level of heat shock factor-binding protein 1 in blood,level,D000082162
CHMP1A/HPCAL1 protein level ratio in blood,CHMP1A/HPCAL1 protein,
saturated fatty acids measurement ,saturated fatty acids,
CD79B/FCRL1 protein level ratio in blood,CD79B/FCRL1 protein,
CLEC1A/GPR37 protein level ratio in blood,CLEC1A/GPR37 protein,
complement factor H-related protein 3 measurement,complement factor H-related protein 3,
complement C1q tumor necrosis factor-related protein 3 measurement,complement,D003166
level of sialomucin core protein 24 in blood,level,D000082162
CSF1/LTBR protein level ratio in blood,CSF1/LTBR protein,
CD40LG/LYN protein level ratio in blood,CD40LG/LYN protein,
CA4/FOLR2 protein level ratio in blood,CA4/FOLR2 protein,
level of sarcoplasmic reticulum histidine-rich calcium-binding protein in blood,level,D000082162
CXCL5/MESD protein level ratio in blood,CXCL5/MESD protein,
"glucose-dependent insulinotropic peptide measurement, glucose tolerance test",glucose-dependent,
Ly6/PLAUR domain-containing protein 3 measurement,Ly6/PLAUR domain-containing protein 3,
"gut microbiome measurement, taxonomic microbiome measurement",gut microbiome,
COL6A3/COLEC12 protein level ratio in blood,COL6A3/COLEC12 protein,
"anxiety measurement, low density lipoprotein cholesterol measurement",anxiety measurement,
BACH1/SRPK2 protein level ratio in blood,BACH1/SRPK2 protein,
"free cholesterol:total lipids ratio, blood VLDL cholesterol amount, chylomicron amount",free cholesterol,
BACH1/SNX9 protein level ratio in blood,BACH1/SNX9 protein,
level of protein numb in blood,level,D000082162
DSC2/SPINT1 protein level ratio in blood,DSC2/SPINT1 protein,
tumor-associated calcium signal transducer 2 measurement,tumor-associated calcium signal transducer 2 measurement,
BIRC2/CD40LG protein level ratio in blood,BIRC2/CD40LG protein,
"diet measurement, apolipoprotein A 1 measurement",diet measurement,
MPIG6B/SNAP29 protein level ratio in blood,MPIG6B/SNAP29 protein,
BST2/CXADR protein level ratio in blood,BST2/CXADR protein,
amount of inactive tyrosine-protein kinase transmembrane receptor ROR1 (human) in blood,inactive,
LAT/PLXNA4 protein level ratio in blood,LAT/PLXNA4 protein,
triglyceride:HDL cholesterol ratio,triglyceride,D014280
neurogenic locus notch homolog protein 3 measurement,neurogenic locus notch homolog protein 3 measurement,
"triglyceride measurement, phospholipid amount",triglyceride measurement,
PLA2G4A/SPINT2 protein level ratio in blood,PLA2G4A/SPINT2 protein,
saturated fatty acids to total fatty acids percentage ,saturated fatty acids,
PTPRF/SDC1 protein level ratio in blood,PTPRF/SDC1,
programmed cell death protein 1 measurement,programmed,D061027
PLA2G4A/SDC4 protein level ratio in blood,protein level,
CD84/SORT1 protein level ratio in blood,CD84/SORT1 protein,
PPP1R12A/VEGFC protein level ratio in blood,PPP1R12A/VEGFC protein,
SH2B3/SUGT1 protein level ratio in blood,SH2B3/SUGT1 protein,
cholesterol to total lipids in large HDL percentage ,cholesterol,D002784
SORT1/ST6GAL1 protein level ratio in blood,SORT1/ST6GAL1 protein,
leucine-rich repeat transmembrane neuronal protein 4 measurement,transmembrane neuronal protein 4,
ENO2/PRSS27 protein level ratio in blood,ENO2/PRSS27 protein,
level of copper transport protein ATOX1 in blood,level,D000082162
neurogenic locus notch homolog protein 1 measurement,neurogenic locus notch homolog protein 1,
lipoprotein measurement,lipoprotein measurement,
blood protein amount,blood protein,D001796
SH2B3/TBL1X protein level ratio in blood,SH2B3/TBL1X protein,
vitamin k-dependent protein S measurement,vitamin k-dependent protein,
enhancer of mRNA-decapping protein 4 measurement,measurement,D054791
longitudinal BMI measurement,longitudinal BMI,
DDR1/PVR protein level ratio in blood,protein level,
CGREF1/FAM3C protein level ratio in blood,CGREF1/FAM3C protein,
SNAP29/VEGFC protein level ratio in blood,SNAP29/VEGFC protein,
"response to bevacizumab, Proteinuria",response,D061745
AKT1S1/FOXO1 protein level ratio in blood,AKT1S1/FOXO1 protein,
"type 2 diabetes mellitus, multiple sclerosis",type 2 diabetes mellitus,
IGSF8/NECTIN2 protein level ratio in blood,IGSF8/NECTIN2 protein,
F2R/TNFRSF14 protein level ratio in blood,F2R/TNFRSF14 protein,
"C-reactive protein measurement, multiple sclerosis",C-reactive protein measurement,
CELA3A/CTRB1 protein level ratio in blood,CELA3A/CTRB1 protein,
level of hematopoietically-expressed homeobox protein HHEX in blood,level,D000082162
CXCL5/PPIB protein level ratio in blood,CXCL5/PPIB protein,
HYOU1/TGFBR3 protein level ratio in blood,HYOU1/TGFBR3 protein,
ALPP/MSLN protein level ratio in blood,ALPP/MSLN protein,
SNX9/VASH1 protein level ratio in blood,SNX9/VASH1 protein,
carbonic anhydrase-related protein 10 measurement,carbonic anhydrase-related protein,
CANT1/NUDT5 protein level ratio in blood,CANT1/NUDT5 protein,
F3/KLK1 protein level ratio in blood,F3/KLK1 protein,
"sleep duration trait, high density lipoprotein cholesterol measurement",sleep duration,D000094362
insulin sensitivity measurement,insulin sensitivity,
"low density lipoprotein cholesterol measurement, C-reactive protein measurement",low density lipoprotein cholesterol measurement,
"sex interaction measurement, omega-6 polyunsaturated fatty acid measurement",sex interaction,
SERPINE1/VASH1 protein level ratio in blood,SERPINE1/VASH1 protein,
level of hepatoma-derived growth factor-related protein 3 in blood serum,level,D000082162
matrix-remodeling-associated protein 8 measurement,matrix-remodeling-associated protein,
SERPINE1/USP8 protein level ratio in blood,SERPINE1/USP8 protein,
"polyunsaturated fatty acid measurement, sex interaction measurement",polyunsaturated fatty acid measurement,
SCG2/TMPRSS15 protein level ratio in blood,SCG2/TMPRSS15 protein,
polyunsaturated fatty acids to monounsaturated fatty acids ratio ,polyunsaturated fatty acids,
protein kinase C-binding protein NELL2 measurement,protein kinase C-binding protein,
LBR/POLR2F protein level ratio in blood,LBR/POLR2F protein,
NECTIN2/SDC1 protein level ratio in blood,protein level,
F7/F9 protein level ratio in blood,F7/F9 protein,
neurogenic locus notch homolog protein 2 measurement,neurogenic locus notch homolog protein 2 measurement,
